Time,BTC-25MAR22,BTC-31DEC21,BTC-PERPETUAL,spread,moving_average,moving_std_dev,upper_band,lower_band,long_entry,long_exit,short_entry,short_exit,positions_long,positions_short,long_sl,positions_long_sl,short_sl,positions_short_sl
1628856000000,49068.0,48216.5,46462.0,307.6049999999941,,,,,False,False,False,False,,,False,,False,
1628857800000,49243.0,48343.5,46579.5,352.65999999999985,,,,,False,False,False,False,,,False,,False,
1628859600000,49289.5,48397.0,46608.5,338.0650000000005,,,,,False,False,False,False,,,False,,False,
1628861400000,49237.0,48341.5,46587.5,351.75999999999476,,,,,False,False,False,False,,,False,,False,
1628863200000,49272.5,48240.0,46499.5,492.9449999999979,,,,,False,False,False,False,,,False,,False,
1628865000000,49143.5,48231.5,46500.0,375.2350000000006,,,,,False,False,False,False,,,False,,False,
1628866800000,48872.0,48038.0,46286.5,291.0349999999944,,,,,False,False,False,False,,,False,,False,
1628868600000,49081.0,48164.0,46439.0,382.24999999999636,,,,,False,False,False,False,,,False,,False,
1628870400000,49058.0,48157.0,46439.5,368.57499999999527,,,,,False,False,False,False,,,False,,False,
1628872200000,49209.0,48329.0,46589.5,340.75499999999556,,,,,False,False,False,False,,,False,,False,1.0
1628874000000,49189.0,48290.5,46558.5,361.5799999999999,,,,,False,False,False,False,,,False,,False,1.0
1628875800000,49173.0,48294.5,46540.5,334.75999999999476,,,,,False,False,False,False,,,False,,False,1.0
1628877600000,49239.5,48375.0,46622.0,321.0699999999997,,,,,False,False,False,False,,,False,,False,1.0
1628879400000,49203.0,48237.5,46536.5,438.1900000000005,,,,,False,False,False,False,,,False,1.0,False,
1628881200000,49121.5,48086.0,46357.0,499.5099999999966,,,,,False,False,False,False,,,False,1.0,False,
1628883000000,49159.5,48215.0,46519.5,418.8949999999986,,,,,False,False,False,False,,,False,1.0,False,
1628884800000,50348.5,49456.0,47614.0,321.47999999999956,,,,,False,False,False,False,,,False,,False,1.0
1628886600000,50376.0,49478.0,47648.5,330.85499999999956,,,,,False,False,False,False,,,False,,False,1.0
1628888400000,50690.5,49694.0,47845.5,423.46500000000015,,,,,False,False,False,False,,,False,1.0,False,
1628890200000,50421.5,49395.0,47606.0,471.9099999999962,,,,,False,False,False,False,,,False,1.0,False,
1628892000000,50313.5,49355.0,47542.0,396.4699999999975,,,,,False,False,False,False,,,False,1.0,False,
1628893800000,50405.5,49390.5,47607.5,462.27000000000044,,,,,False,False,False,False,,,False,1.0,False,
1628895600000,50545.0,49578.0,47742.0,397.84000000000015,,,,,False,False,False,False,,,False,1.0,False,1.0
1628897400000,50694.5,49730.5,47869.0,386.9349999999977,,,,,False,False,False,False,,,False,,False,1.0
1628899200000,50607.0,49698.5,48100.0,412.9649999999965,,,,,False,False,False,False,,,False,1.0,False,
1628901000000,50497.0,49524.0,47631.5,386.3249999999971,,,,,False,False,False,False,,,False,,False,1.0
1628902800000,50592.0,49566.5,47689.5,443.62999999999556,,,,,False,False,False,False,,,False,1.0,False,
1628904600000,50502.5,49482.5,47633.5,446.80999999999585,,,,,False,False,False,False,,,False,1.0,False,
1628906400000,50488.5,49419.0,47585.0,500.96000000000095,,,,,False,False,False,False,,,False,1.0,False,
1628908200000,50521.0,49500.5,47616.0,436.304999999993,,,,,False,False,False,False,,,False,1.0,False,
1628910000000,50406.5,49334.5,47586.0,529.9650000000001,,,,,False,False,False,False,,,False,1.0,False,
1628911800000,50357.0,49394.5,47607.5,408.5299999999952,,,,,False,False,False,False,,,False,,False,1.0
1628913600000,50444.5,49456.0,47675.0,436.3899999999994,,,,,False,False,False,False,,,False,1.0,False,1.0
1628915400000,50388.0,49312.5,47536.5,524.9400000000005,,,,,False,False,False,False,,,False,1.0,False,
1628917200000,50375.0,49367.5,47587.5,455.6999999999971,,,,,False,False,False,False,,,False,1.0,False,1.0
